City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint Paul Harbor,57.79,-152.4072,1.77,87,92,4.56,US,1611639072
Mar del Plata,-38.0023,-57.5575,20.0,94,90,2.57,AR,1611639073
Tāybād,34.74,60.7756,4.42,62,0,0.85,IR,1611639075
Cabo San Lucas,22.8909,-109.9124,15.0,76,94,4.52,MX,1611639076
Tiarei,-17.5333,-149.3333,28.0,61,75,4.63,PF,1611639077
Khatanga,71.9667,102.5,-29.01,87,100,2.93,RU,1611639078
Pisco,-13.7,-76.2167,21.0,78,75,4.12,PE,1611639079
Kolyvan',55.3053,82.7391,-39.0,67,75,1.0,RU,1611639080
Hofn,64.2539,-15.2082,-4.71,88,99,9.47,IS,1611639082
Bontang,0.1333,117.5,28.29,71,91,3.29,ID,1611639083
Sault Ste. Marie,46.5168,-84.3333,-12.0,79,20,2.57,CA,1611639084
Zhigansk,66.7697,123.3711,-48.09,68,56,0.09,RU,1611639085
Thompson,55.7435,-97.8558,-25.0,77,75,1.54,CA,1611639086
Pevek,69.7008,170.3133,-34.96,84,67,1.67,RU,1611639087
Nanortalik,60.1432,-45.2371,-8.0,85,0,4.34,GL,1611639089
Bilibino,68.0546,166.4372,-33.2,82,84,0.9,RU,1611639090
Dikson,73.5069,80.5464,-31.47,86,100,5.87,RU,1611639091
Hambantota,6.1241,81.1185,29.0,61,0,4.63,LK,1611639092
Béja,36.7256,9.1817,13.0,87,75,6.17,TN,1611639093
Fortuna,40.5982,-124.1573,3.0,100,90,1.54,US,1611639094
Ponta do Sol,32.6667,-17.1,15.56,70,5,1.34,PT,1611639096
Qasigiannguit,68.8193,-51.1922,-16.0,66,0,3.09,GL,1611639097
Butaritari,3.0707,172.7902,26.98,73,71,3.27,KI,1611639098
Virginia Beach,36.8529,-75.978,6.67,98,100,1.34,US,1611639099
Hobyo,5.3505,48.5268,26.1,63,60,8.77,SO,1611639100
Saint George,37.1041,-113.5841,1.67,88,100,1.34,US,1611639101
Pontes e Lacerda,-15.2261,-59.3353,21.86,92,92,0.91,BR,1611639103
Khor,47.8861,134.9464,-9.16,97,100,2.22,RU,1611639104
Crotone,39.0851,17.1178,12.47,85,100,6.06,IT,1611639105
Bāglung,28.2719,83.5898,19.75,26,0,2.5,NP,1611639106
Raglan,-37.8,174.8833,25.0,78,1,4.02,NZ,1611639107
Jamestown,42.097,-79.2353,0.0,64,90,3.6,US,1611639108
Sur,22.5667,59.5289,22.42,52,1,2.13,OM,1611639109
Araouane,18.9048,-3.5265,16.95,22,39,4.51,ML,1611639111
Emerald,-23.5333,148.1667,35.56,28,56,3.6,AU,1611639112
Launceston,-41.45,147.1667,26.11,33,75,4.63,AU,1611639113
Nikolskoye,59.7035,30.7861,2.0,93,90,5.0,RU,1611639114
Ambilobe,-13.2,49.05,29.08,74,24,0.9,MG,1611639115
Cidreira,-30.1811,-50.2056,23.25,82,0,2.39,BR,1611639116
Ternate,0.8,127.4,27.09,79,100,4.53,ID,1611639118
Tarauacá,-8.1614,-70.7656,21.75,93,100,0.73,BR,1611639119
Bella Vista,36.4295,-94.2316,6.67,87,90,4.63,US,1611639120
Xichang,27.8964,102.2634,17.78,37,21,1.83,CN,1611639121
Antakya,36.2066,36.1572,0.0,100,4,1.54,TR,1611639122
Najrān,17.4924,44.1277,13.0,41,0,1.03,SA,1611639123
Agirish,61.9247,63.0231,-4.34,99,100,3.46,RU,1611639125
Mataura,-46.1927,168.8643,24.29,39,100,4.86,NZ,1611639126
Katsuura,35.1333,140.3,12.78,62,75,3.09,JP,1611639127
Shalinskoye,55.7228,93.7594,-27.89,86,100,1.42,RU,1611639128
Barrow,71.2906,-156.7887,-24.0,77,90,3.6,US,1611639129
Sorong,-0.8833,131.25,28.73,73,99,4.47,ID,1611639130
Kingston,17.997,-76.7936,22.78,86,62,0.45,JM,1611639132
Ketchikan,55.3422,-131.6461,-1.75,95,48,1.76,US,1611639133
Kapaa,22.0752,-159.319,22.78,59,100,1.34,US,1611639134
Mbigou,-1.9005,11.906,20.25,95,100,0.56,GA,1611639135
Yakeshi,49.2833,120.7333,-21.51,87,98,8.65,CN,1611639136
Hilo,19.7297,-155.09,20.0,92,100,3.58,US,1611639137
Whitehorse,60.7161,-135.0538,-12.0,85,90,3.6,CA,1611639139
Bonthe,7.5264,-12.505,23.24,91,15,1.61,SL,1611639140
Bara,10.3744,10.7288,17.2,27,30,2.27,NG,1611639141
Lompoc,34.6391,-120.4579,8.0,71,0,6.17,US,1611639142
Port Blair,11.6667,92.75,27.43,66,15,5.86,IN,1611639143
Bredasdorp,-34.5322,20.0403,19.0,82,44,1.54,ZA,1611639144
Thinadhoo,0.5333,72.9333,27.64,77,69,5.93,MV,1611639003
Koumac,-20.5667,164.2833,27.23,71,99,2.82,NC,1611639147
Faanui,-16.4833,-151.75,27.37,76,100,8.2,PF,1611639148
Xam Nua,20.4197,104.0439,23.66,49,83,1.54,LA,1611639149
East London,-33.0153,27.9116,21.0,78,0,1.54,ZA,1611639150
São Filipe,14.8961,-24.4956,22.42,68,10,2.22,CV,1611639151
Deputatsky,69.3,139.9,-42.31,83,52,0.85,RU,1611639152
Chui,-33.6971,-53.4616,21.3,86,0,2.42,UY,1611639027
Sitka,57.0531,-135.33,0.14,93,17,2.26,US,1611639155
Forio,40.7342,13.8646,11.11,57,90,1.54,IT,1611639156
Ruska Poliana,49.417,31.9201,1.65,84,100,9.12,UA,1611639157
San Felipe,10.3399,-68.7425,20.31,92,100,1.03,VE,1611639158
Arraial do Cabo,-22.9661,-42.0278,23.99,89,39,10.05,BR,1611639159
Margate,51.3813,1.3862,2.78,77,38,0.89,GB,1611639160
Aklavik,68.2191,-135.0107,-22.0,77,99,1.54,CA,1611639162
Lokosovo,61.1333,74.8167,-29.6,86,100,5.82,RU,1611639163
Paita,-5.0892,-81.1144,23.74,73,74,3.59,PE,1611639164
Cravo Norte,6.3017,-70.2041,25.01,66,62,2.07,CO,1611639165
Motygino,58.1831,94.7592,-34.93,80,73,0.87,RU,1611639166
West Wendover,40.7391,-114.0733,-1.0,86,90,2.06,US,1611639167
Adrar,20.5022,-10.0711,16.89,24,0,3.43,MR,1611639169
Melfi,40.9965,15.6514,1.0,86,90,3.46,IT,1611639170
Kibaya,-5.3,36.5667,17.76,90,95,2.35,TZ,1611639171
Iqaluit,63.7506,-68.5145,-18.89,84,1,6.69,CA,1611639172
Lavrentiya,65.5833,-171.0,-16.42,91,100,2.15,RU,1611639173
Morondava,-20.2833,44.2833,28.07,71,96,3.67,MG,1611639174
Vaini,-21.2,-175.2,25.0,94,75,6.69,TO,1611639176
George Town,5.4112,100.3354,31.0,58,20,1.54,MY,1611639116
Sanchazi,42.0817,126.6003,-1.01,88,78,4.18,CN,1611639171
Sarāi Mīr,26.0167,82.9167,13.0,82,75,2.57,IN,1611639179
Yichun,47.7,128.9,-10.36,89,94,2.7,CN,1611638891
Plainview,40.7765,-73.4673,1.0,47,1,1.41,US,1611639181
Comodoro Rivadavia,-45.8667,-67.5,14.0,41,0,9.26,AR,1611639183
Nardaran,40.5561,50.0056,7.0,81,75,6.17,AZ,1611639184
Nagua,19.3832,-69.8474,18.89,95,42,1.53,DO,1611639185
Ibrā’,22.6906,58.5334,22.5,36,1,0.93,OM,1611639186
Ganzhou,28.8184,115.4327,13.35,52,23,1.5,CN,1611639187
Talnakh,69.4865,88.3972,-33.65,82,100,5.07,RU,1611639188
Coahuayana Viejo,18.7333,-103.6833,19.95,83,11,1.31,MX,1611639190
Sinnamary,5.3833,-52.95,24.65,85,34,5.88,GF,1611639191
Porto-Novo,6.4965,2.6036,24.17,91,65,2.14,BJ,1611639192
Havøysund,70.9963,24.6622,-1.0,79,75,5.14,NO,1611639193
Bjørnevatn,69.6672,29.9847,-4.0,86,90,5.14,NO,1611639194
Narsaq,60.9167,-46.05,-5.0,25,75,12.86,GL,1611639195
Charlestown,-32.95,151.6667,37.78,22,29,4.63,AU,1611639007
Trat,12.5,102.5,35.56,70,40,2.06,TH,1611639198
Manado,1.487,124.8455,27.0,83,40,1.54,ID,1611639036
Province of Trapani,37.8333,12.6667,13.89,88,75,5.14,IT,1611639200
São João da Barra,-21.6403,-41.0511,24.23,89,21,5.73,BR,1611639201
Saint-Philippe,-21.3585,55.7679,30.0,58,0,3.6,RE,1611639202
Haines Junction,60.7522,-137.5108,-14.0,85,99,0.51,CA,1611639203
Kathmandu,27.7167,85.3167,17.97,29,0,1.16,NP,1611639067
Norman Wells,65.282,-126.8329,-26.0,76,90,3.09,CA,1611639206
Brainerd,46.358,-94.2008,-13.0,52,90,2.57,US,1611639207
Yumen,40.2833,97.2,-1.12,68,51,7.26,CN,1611639208
Straumen,63.8709,11.2999,1.67,86,75,4.12,NO,1611639209
Camacha,33.0833,-16.3333,15.0,94,20,1.03,PT,1611639210
Teya,60.3778,92.6267,-35.7,77,44,0.24,RU,1611639211
Vitim,59.4511,112.5578,-31.45,80,100,1.31,RU,1611639213
Antsohihy,-14.8796,47.9875,29.03,76,82,0.11,MG,1611639214
Kavieng,-2.5744,150.7967,29.3,70,23,4.2,PG,1611639215
La Esperanza,14.8667,-91.5667,17.22,86,48,1.79,GT,1611639216
Clyde River,70.4692,-68.5914,-13.0,85,1,13.89,CA,1611639217
Nador,35.174,-2.9287,17.0,72,0,8.23,MA,1611639218
Keflavik,64.0049,-22.5624,-2.0,59,90,12.86,IS,1611639220
Faya,18.3851,42.4509,13.0,62,0,0.75,SA,1611639221
Chokurdakh,70.6333,147.9167,-41.18,78,19,0.28,RU,1611639222
Le Marin,14.4721,-60.8697,25.0,83,75,4.63,MQ,1611639223
Tasiilaq,65.6145,-37.6368,-13.0,47,20,6.69,GL,1611639224
Udachny,66.4167,112.4,-38.56,80,74,0.83,RU,1611639225
Monrovia,6.3005,-10.7969,24.0,94,20,1.85,LR,1611639227
Burnie,-41.0667,145.9167,17.22,50,0,7.6,AU,1611639228
Kaitangata,-46.2817,169.8464,23.95,41,100,4.76,NZ,1611639229
Yamada,39.4667,141.95,5.43,76,100,4.15,JP,1611639230
Mackay,-21.15,149.2,29.0,74,66,7.2,AU,1611639231
Lagoa,39.05,-27.9833,16.8,86,100,10.23,PT,1611639232
Bluff,-46.6,168.3333,20.26,58,100,6.29,NZ,1611639233
St. George's,12.0564,-61.7485,26.0,73,20,9.26,GD,1611639170
Naryan-Mar,67.6713,53.087,-23.42,89,100,7.26,RU,1611639236
Port Hedland,-20.3167,118.5667,38.0,27,99,6.69,AU,1611639082
Hithadhoo,-0.6,73.0833,27.59,69,100,1.08,MV,1611639238
Beringovskiy,63.05,179.3167,-19.47,91,100,6.12,RU,1611639239
Codrington,-38.2667,141.9667,15.83,73,48,7.83,AU,1611639240
Ilulissat,69.2167,-51.1,-16.0,66,0,3.09,GL,1611639242
Coquimbo,-29.9533,-71.3436,16.0,88,90,2.06,CL,1611639243
Grand Baie,-20.0182,57.5802,28.89,68,7,0.89,MU,1611639244
Kaabong,3.4836,34.1492,22.53,38,11,7.58,UG,1611639245
Lázaro Cárdenas,17.9583,-102.2,22.11,89,20,1.63,MX,1611639246
Luanda,-8.8368,13.2343,26.0,83,75,1.54,AO,1611639247
Río Gallegos,-51.6226,-69.2181,6.0,56,0,10.29,AR,1611639249
Namatanai,-3.6667,152.4333,29.3,70,40,3.83,PG,1611639250
Severo-Kuril'sk,50.6789,156.125,-6.31,94,82,11.22,RU,1611639251
Hutang,31.5333,119.4833,2.78,99,100,3.11,CN,1611639252
Namioka,40.7072,140.5894,6.11,75,75,2.06,JP,1611639200
Mnogovershinnyy,53.9353,139.9242,-25.55,86,40,1.5,RU,1611639254
San Rafael del Sur,11.8485,-86.4384,24.0,88,20,3.09,NI,1611639255
Paamiut,61.994,-49.6678,-5.31,82,96,4.19,GL,1611639257
Ribeira Grande,38.5167,-28.7,17.51,84,100,12.12,PT,1611639258
Labuhan,-6.8844,112.2051,28.53,73,86,2.76,ID,1611639259
Mount Gambier,-37.8333,140.7667,19.0,59,90,9.77,AU,1611639260
Pesca,5.55,-73.05,7.32,81,99,0.97,CO,1611639261
Mount Isa,-20.7333,139.5,33.0,46,67,0.51,AU,1611639262
Le Port,-20.9373,55.2919,29.0,65,75,3.09,RE,1611639008
Hobart,-42.8794,147.3294,20.0,32,40,10.8,AU,1611639265
Dublin,37.7021,-121.9358,7.22,75,20,3.6,US,1611639266
Salalah,17.0151,54.0924,24.0,31,0,1.54,OM,1611639267
Beisfjord,68.3751,17.5988,-14.0,92,75,2.63,NO,1611639268
Ust-Tsilma,65.441,52.1498,-3.29,98,100,2.04,RU,1611639119
Marawi,7.9986,124.2928,28.33,82,94,3.58,PH,1611639270
Samaná,19.2056,-69.3369,22.64,84,15,3.1,DO,1611639272
Koronowo,53.3137,17.937,1.11,93,75,5.14,PL,1611639273
Ekimchan,53.0667,132.9667,-15.61,90,100,1.43,RU,1611639274
Carnarvon,-24.8667,113.6333,28.0,51,8,8.23,AU,1611639207
Arrondissement de Saint-Denis,48.9167,2.3333,0.0,93,0,1.03,FR,1611639276
Tabas,33.5959,56.9244,3.0,25,0,2.06,IR,1611639277
City of San Pedro,14.35,121.0167,31.67,70,75,3.09,PH,1611639279
Aketi,2.7388,23.7833,22.14,92,97,0.38,CD,1611639280
Moses Lake,47.1301,-119.2781,1.0,75,90,2.57,US,1611639281
Mocuba,-16.8392,36.9856,25.76,88,97,1.22,MZ,1611639282
Hamilton,39.1834,-84.5333,1.11,95,97,0.89,US,1611639007
San Juan del Sur,11.2529,-85.8705,25.1,80,1,9.39,NI,1611639285
Katobu,-4.9408,122.5276,29.15,70,99,3.58,ID,1611639286
Banjar,-8.19,114.9675,30.0,74,20,6.17,ID,1611639287
Provideniya,64.3833,-173.3,-15.0,78,90,8.0,RU,1611639288
Andradas,-22.0681,-46.5692,18.21,84,97,2.21,BR,1611639289
Bose,45.4612,8.0137,1.67,45,0,3.31,IT,1611639291
Manzhouli,49.6,117.4333,-20.09,84,91,8.34,CN,1611639292
Lockhart,28.6194,-81.4426,22.0,78,90,2.06,US,1611639293
Anadyr,64.75,177.4833,-17.78,85,90,7.0,RU,1611638915
Bandarbeyla,9.4942,50.8122,24.21,66,66,9.17,SO,1611639295
Buchach,49.0625,25.388,1.11,87,94,2.68,UA,1611639296
Pasni,25.2631,63.471,20.71,23,0,4.26,PK,1611639298
Tuktoyaktuk,69.4541,-133.0374,-19.0,84,90,5.66,CA,1611639299
Okha,53.5739,142.9478,-26.47,87,3,1.67,RU,1611639300
Puerto Escondido,15.85,-97.0667,25.2,61,0,1.85,MX,1611639301
Ancud,-41.8697,-73.8203,10.0,87,0,1.03,CL,1611639302
Lebu,-37.6167,-73.65,13.06,81,0,7.3,CL,1611639303
Port Lincoln,-34.7333,135.8667,19.63,53,72,6.24,AU,1611639054
Leningradskiy,69.3833,178.4167,-27.37,86,100,7.54,RU,1611639306
Kajaani,64.2273,27.7285,0.0,100,90,2.06,FI,1611639307
Murray Bridge,-35.1167,139.2667,21.11,72,46,7.26,AU,1611639308
Rocha,-34.4833,-54.3333,20.5,87,0,3.51,UY,1611639309
Tagusao,9.1924,117.8141,28.48,69,93,4.9,PH,1611639310
Cobija,-11.0267,-68.7692,21.83,97,97,0.93,BO,1611639312
Port-Gentil,-0.7193,8.7815,27.0,89,40,2.06,GA,1611639313
Te Anau,-45.4167,167.7167,19.41,60,100,4.71,NZ,1611639314
Kumul,42.8,93.45,-3.29,72,100,4.1,CN,1611639129
Pahrump,36.2083,-115.9839,1.11,92,100,0.45,US,1611639316
Fort Frances,48.5999,-93.4003,-18.0,65,90,1.54,CA,1611639317
Mthatha,-31.5889,28.7844,21.0,73,98,0.51,ZA,1611639318
Markova,48.6758,24.4138,0.0,80,75,7.0,UA,1611639320
Saint-Leu,-21.15,55.2833,28.89,63,9,1.94,RE,1611639321
Jalu,29.0331,21.5482,13.55,36,31,4.19,LY,1611639322
Alice Springs,-23.7,133.8833,37.0,26,59,5.14,AU,1611639315
Zaraza,9.3503,-65.3245,22.02,89,81,1.87,VE,1611639324
Dingle,10.9995,122.6711,28.56,66,97,4.76,PH,1611639325
Bodden Town,19.2833,-81.25,26.11,87,100,1.79,KY,1611639327
Griffith,41.5284,-87.4237,-1.0,93,90,5.14,US,1611639328
Coyhaique,-45.5752,-72.0662,8.0,76,90,2.06,CL,1611639329
São Félix do Xingu,-6.6447,-51.995,21.04,95,51,0.17,BR,1611639330
Santa Rosa,14.3122,121.1114,31.67,70,75,3.09,PH,1611639331
Goderich,43.7501,-81.7165,-3.0,80,100,3.6,CA,1611639332
Vila Velha,-20.3297,-40.2925,23.0,94,40,1.54,BR,1611639333
Rabo de Peixe,37.8,-25.5833,17.22,88,75,6.17,PT,1611639335
Soyo,-6.1349,12.3689,26.29,83,99,3.49,AO,1611639336
Cayenne,4.9333,-52.3333,26.0,89,75,3.09,GF,1611639337
Saldanha,-33.0117,17.9442,16.0,82,21,2.57,ZA,1611639338
Santa Inês,-3.6667,-45.38,23.25,97,100,1.03,BR,1611639339
Hasaki,35.7333,140.8333,12.22,66,75,2.06,JP,1611639340
Slave Lake,55.2834,-114.769,-19.0,78,90,7.72,CA,1611639342
Christchurch,-43.5333,172.6333,36.0,13,28,6.69,NZ,1611639116
Kibakwe,-6.7167,36.3667,20.75,85,99,1.04,TZ,1611639344
Lüderitz,-26.6481,15.1594,19.37,69,93,8.64,NA,1611639345
San Andrés,12.5847,-81.7006,27.0,78,20,4.12,CO,1611639346
Pangnirtung,66.1451,-65.7125,-14.0,77,0,1.25,CA,1611639347
San Quintín,30.4833,-115.95,11.53,59,68,12.04,MX,1611639349
Union,40.6334,-74.2663,1.0,44,90,1.64,US,1611639350
Dudinka,69.4058,86.1778,-36.23,80,100,7.86,RU,1611639351
Florida,28.7505,-82.5001,16.11,100,90,3.37,US,1611639114
Madikeri,12.4167,75.7333,25.62,31,59,2.03,IN,1611639353
Esperance,-33.8667,121.9,24.0,50,9,7.2,AU,1611639354
Takoradze,4.8845,-1.7554,24.95,84,17,1.57,GH,1611639226
Lokomotivnyy,53.0118,60.5684,-4.1,97,95,6.01,RU,1611639357
Khāsh,28.2211,61.2158,10.62,29,0,1.4,IR,1611639358
Mogok,22.9167,96.5,24.02,33,0,1.23,MM,1611639359
Mikkeli,61.6886,27.2723,0.0,93,90,1.03,FI,1611639360
Jiuquan,39.7432,98.5174,-3.35,82,39,1.5,CN,1611639226
Betafo,-19.8333,46.85,22.89,70,92,1.06,MG,1611639362
Aitape,-3.1374,142.3475,29.4,69,54,2.22,PG,1611639364
Alofi,-19.0595,-169.9187,23.0,100,100,3.09,NU,1611639365
Yulara,-25.2406,130.9889,32.0,45,90,6.69,AU,1611639366
Kvarkeno,52.0833,59.725,-2.18,98,100,5.21,RU,1611639367
Salinópolis,-0.6136,-47.3561,25.73,85,85,3.05,BR,1611639368
Chunhuhub,19.55,-88.6833,21.75,95,39,1.83,MX,1611639369
Dunedin,-45.8742,170.5036,25.56,46,100,7.6,NZ,1611639335
Nioro,13.35,-15.75,19.18,23,0,1.91,GM,1611639372
Upernavik,72.7868,-56.1549,-14.87,89,6,3.02,GL,1611639373
Airai,-8.9266,125.4092,20.51,93,81,2.16,TL,1611639374
Balkanabat,39.5108,54.3671,7.54,50,0,6.55,TM,1611639375
Syumsi,57.1111,51.6149,-4.97,97,100,3.1,RU,1611639376
Loukhi,66.0764,33.0381,-2.94,99,100,1.06,RU,1611639378
Baruun-Urt,46.6806,113.2792,-17.58,83,0,7.69,MN,1611639379
Miraflores,19.2167,-98.8083,17.78,48,0,4.02,MX,1611639380
Gunjur,13.2019,-16.7339,20.0,49,1,1.54,GM,1611639381
Wajima,37.4,136.9,10.0,57,0,2.57,JP,1611639103
Buala,-8.145,159.5921,29.47,68,90,4.24,SB,1611639383
Acarí,-15.4311,-74.6158,22.26,69,32,0.83,PE,1611639384
Banfora,10.6333,-4.7667,19.2,24,44,1.56,BF,1611639386
Mandera,3.9366,41.867,26.02,46,0,5.13,KE,1611639387
Tshikapa,-6.4167,20.8,21.01,90,99,0.24,CD,1611639388
Juneau,58.3019,-134.4197,-2.0,86,75,2.17,US,1611639389
Sydney,-33.8679,151.2073,35.0,33,0,8.75,AU,1611639261
Edd,13.9297,41.6925,27.02,33,19,3.01,ER,1611639391
Cockburn Town,21.4612,-71.1419,24.27,79,68,9.5,TC,1611639393
Shimokizukuri,40.8061,140.3861,5.56,75,75,2.06,JP,1611639394
Vung Tau,10.346,107.0843,26.17,71,56,4.86,VN,1611639253
Mahon,39.8885,4.2658,9.0,57,20,9.77,ES,1611639396
Biltine,14.5333,20.9167,20.8,19,14,5.83,TD,1611639397
Ishigaki,24.3448,124.1572,22.0,68,20,3.6,JP,1611639398
Morant Bay,17.8815,-76.4093,22.78,86,53,0.45,JM,1611639399
Raduzhny,62.0961,77.475,-35.58,82,100,6.54,RU,1611639401
San Patricio,28.017,-97.5169,21.0,46,90,6.17,US,1611639402
Hulan Ergi,47.2042,123.6333,-9.81,76,0,6.19,CN,1611639403
Thayetmyo,19.3167,95.1833,34.72,19,0,0.7,MM,1611639404
Acapulco de Juárez,16.8634,-99.8901,23.79,83,0,1.77,MX,1611639405
Port Shepstone,-30.7414,30.455,24.08,68,98,1.49,ZA,1611639406
Tautira,-17.7333,-149.15,28.0,61,75,4.63,PF,1611639408
La Libertad,-2.2333,-80.9,25.23,82,77,4.81,EC,1611639409
Raymond,43.9015,-70.4703,-5.0,65,51,0.45,US,1611639410
Road Town,18.4167,-64.6167,24.44,87,0,1.79,VG,1611639411
Yar-Sale,66.8333,70.8333,-28.36,87,100,3.8,RU,1611639412
Iwanai,42.9744,140.5089,2.26,84,100,2.6,JP,1611639413
Eséka,3.65,10.7667,22.95,93,77,0.3,CM,1611639415
Chiredzi,-21.05,31.6667,24.64,80,95,2.09,ZW,1611639416
Tigil',57.8,158.6667,-21.75,91,51,1.14,RU,1611639417
Avera,33.194,-82.5271,19.0,88,1,4.63,US,1611639418
Muzhi,65.3667,64.6667,-22.54,91,100,2.1,RU,1611639419
Yangi Marg`ilon,40.4272,71.7189,1.0,60,37,1.03,UZ,1611639420
Chapais,49.7834,-74.8492,-18.0,85,90,1.54,CA,1611639421
Biak,-0.9131,122.8766,26.19,76,100,1.87,ID,1611639423
Darhan,49.4867,105.9228,-17.11,86,96,1.68,MN,1611639424
Daru,-9.0763,143.2092,30.95,67,88,3.38,PG,1611639425
Onokhoy,51.932,108.0747,-15.0,51,20,2.0,RU,1611639426
Leh,34.1667,77.5833,-12.39,64,26,0.84,IN,1611639427
Banda Aceh,5.5577,95.3222,29.73,65,63,3.43,ID,1611639428
Alyangula,-13.8483,136.4192,31.0,70,40,1.54,AU,1611639430
Sørland,67.667,12.6934,0.0,93,75,5.66,NO,1611639431
Fort Nelson,58.8053,-122.7002,-19.0,78,90,1.54,CA,1611639432
Boyolangu,-8.1181,111.8935,29.9,68,52,3.87,ID,1611639433
Datong,40.0936,113.2914,-1.73,58,0,6.25,CN,1611639434
Vila Franca do Campo,37.7167,-25.4333,17.22,88,75,6.17,PT,1611639435
Akureyri,65.6835,-18.0878,-6.0,79,90,6.69,IS,1611639437
Ulladulla,-35.35,150.4667,34.0,29,40,2.57,AU,1611639438
Ust'-Barguzin,53.45,108.9833,-18.25,89,100,2.33,RU,1611639439
Pampierstad,-27.7832,24.6877,20.38,81,100,5.35,ZA,1611639440
Zyryanovsk,49.7386,84.2719,-16.86,91,100,0.54,KZ,1611639441
Cooma,-36.2333,149.1333,22.0,64,90,6.69,AU,1611639442
Sfântu Gheorghe,45.8667,25.7833,-0.56,86,100,0.82,RO,1611639444
Carballo,43.213,-8.691,13.33,94,99,2.18,ES,1611639445
Shimoda,34.6667,138.95,13.0,67,75,5.14,JP,1611639185
Novonukutskiy,53.7002,102.7117,-24.12,87,100,3.04,RU,1611639447
Reguengos de Monsaraz,38.4253,-7.5349,14.0,100,75,3.09,PT,1611639448
